
Output from Plumeria 2, fortran version, run date 2022.02.09  16:43

Input values:
      Using multilayered atmosphere from file metfile.txt                                                                     
                           Vent diameter (m):  2100.0
                          Vent elevation (m):   144.0
                      Initial velocity (m/s):   283.7
                       Magma temperature (C):    900.
                         Weight fraction gas:   0.030
                         Weight fraction air:   0.001
               Magma specific heat, (J/kg K):  1000.0
                      Magma density, (kg/m3):  2500.0
                     Mixture density (kg/m3):   5.948
                   Mass fraction water added:   0.000
                           Mass flux, (kg/s):  0.584E+10
                 Mass flux of solids, (kg/s):  0.567E+10
                   Mixture sound speed (m/s):   144.0
**********************************************************************************************************************************************************************************************
   i        s        z        x        y       m_m       m_a       m_w       m_l       m_i      v       u          r   T_mix   T_air   rho_mix   rho_air    Time     p_air     water       ice
       meters   meters   meters   meters                                                      m/s     m/s          m  Kelvin  Kelvin     kg/m3     kg/m3 seconds        Pa      g/m3      g/m3
   1      0.0      0.0      0.0      0.0 0.969E+00 0.100E-02 0.300E-01 0.000E+00 0.000E+00    5.75   283.70    1050.0  1173.0   299.7     5.948     1.148     0.0   98721.4 0.000E+00 0.000E+00
   2      1.0      1.0     -0.0      0.0 0.969E+00 0.108E-02 0.300E-01 0.000E+00 0.000E+00    5.75   283.65    1051.0  1172.9   299.7     5.938     1.148     0.0   98710.1 0.000E+00 0.000E+00
   3      2.5      2.5     -0.0      0.0 0.969E+00 0.121E-02 0.300E-01 0.000E+00 0.000E+00    5.75   283.57    1052.6  1172.8   299.7     5.923     1.148     0.0   98693.2 0.000E+00 0.000E+00
   4      4.6      4.6     -0.0      0.0 0.969E+00 0.138E-02 0.300E-01 0.000E+00 0.000E+00    5.76   283.46    1054.7  1172.6   299.7     5.902     1.147     0.0   98669.8 0.000E+00 0.000E+00
   5      7.3      7.3     -0.0      0.0 0.968E+00 0.160E-02 0.300E-01 0.000E+00 0.000E+00    5.76   283.32    1057.4  1172.4   299.6     5.876     1.147     0.0   98639.5 0.000E+00 0.000E+00
   6     10.6     10.6     -0.0      0.0 0.968E+00 0.187E-02 0.300E-01 0.000E+00 0.000E+00    5.76   283.15    1060.8  1172.2   299.6     5.844     1.147     0.0   98602.1 0.000E+00 0.000E+00
   7     14.5     14.5     -0.0      0.0 0.968E+00 0.219E-02 0.300E-01 0.000E+00 0.000E+00    5.77   282.95    1064.8  1171.9   299.6     5.806     1.146     0.1   98558.0 0.000E+00 0.000E+00
   8     19.0     19.0     -0.0      0.0 0.967E+00 0.256E-02 0.299E-01 0.000E+00 0.000E+00    5.78   282.72    1069.3  1171.5   299.5     5.764     1.146     0.1   98507.5 0.000E+00 0.000E+00
   9     24.0     24.0     -0.0      0.0 0.967E+00 0.297E-02 0.299E-01 0.000E+00 0.000E+00    5.78   282.46    1074.4  1171.2   299.5     5.717     1.145     0.1   98451.5 0.000E+00 0.000E+00
  10     29.4     29.4     -0.0      0.0 0.967E+00 0.341E-02 0.299E-01 0.000E+00 0.000E+00    5.79   282.18    1079.9  1170.8   299.4     5.667     1.145     0.1   98390.5 0.000E+00 0.000E+00
  11     35.2     35.2     -0.0      0.0 0.966E+00 0.389E-02 0.299E-01 0.000E+00 0.000E+00    5.80   281.89    1085.7  1170.3   299.4     5.615     1.144     0.1   98325.2 0.000E+00 0.000E+00
  12     41.4     41.4     -0.0      0.0 0.966E+00 0.439E-02 0.299E-01 0.000E+00 0.000E+00    5.81   281.57    1091.9  1169.9   299.3     5.561     1.144     0.1   98256.2 0.000E+00 0.000E+00
  13     47.8     47.8     -0.0      0.0 0.965E+00 0.491E-02 0.299E-01 0.000E+00 0.000E+00    5.81   281.24    1098.3  1169.4   299.3     5.506     1.143     0.2   98184.3 0.000E+00 0.000E+00
  14     54.4     54.4     -0.0      0.0 0.965E+00 0.545E-02 0.299E-01 0.000E+00 0.000E+00    5.82   280.91    1104.9  1168.9   299.2     5.450     1.142     0.2   98109.8 0.000E+00 0.000E+00
  15     61.3     61.3     -0.0      0.0 0.964E+00 0.601E-02 0.299E-01 0.000E+00 0.000E+00    5.83   280.56    1111.6  1168.4   299.2     5.393     1.142     0.2   98033.2 0.000E+00 0.000E+00
  16     68.3     68.3     -0.0      0.0 0.964E+00 0.658E-02 0.299E-01 0.000E+00 0.000E+00    5.84   280.20    1118.5  1167.9   299.1     5.337     1.141     0.2   97955.0 0.000E+00 0.000E+00
  17     75.4     75.4     -0.0      0.0 0.963E+00 0.715E-02 0.299E-01 0.000E+00 0.000E+00    5.85   279.84    1125.6  1167.3   299.1     5.280     1.140     0.3   97875.4 0.000E+00 0.000E+00
  18     82.6     82.6     -0.0      0.0 0.962E+00 0.774E-02 0.299E-01 0.000E+00 0.000E+00    5.86   279.48    1132.6  1166.8   299.0     5.225     1.140     0.3   97794.7 0.000E+00 0.000E+00
  19     89.9     89.9     -0.0      0.0 0.962E+00 0.832E-02 0.299E-01 0.000E+00 0.000E+00    5.87   279.11    1139.8  1166.3   298.9     5.169     1.139     0.3   97713.1 0.000E+00 0.000E+00
  20     97.3     97.3     -0.0      0.0 0.961E+00 0.892E-02 0.299E-01 0.000E+00 0.000E+00    5.88   278.74    1146.9  1165.7   298.9     5.115     1.138     0.3   97630.9 0.000E+00 0.000E+00
  21    104.7    104.7     -0.0      0.0 0.961E+00 0.952E-02 0.299E-01 0.000E+00 0.000E+00    5.89   278.36    1154.2  1165.2   298.8     5.061     1.138     0.4   97548.0 0.000E+00 0.000E+00
  22    112.1    112.1     -0.0      0.0 0.960E+00 0.101E-01 0.298E-01 0.000E+00 0.000E+00    5.90   277.99    1161.4  1164.6   298.7     5.008     1.137     0.4   97464.8 0.000E+00 0.000E+00
  23    119.6    119.6     -0.0      0.0 0.959E+00 0.107E-01 0.298E-01 0.000E+00 0.000E+00    5.92   277.61    1168.6  1164.1   298.7     4.956     1.136     0.4   97381.2 0.000E+00 0.000E+00
  24    127.2    127.2     -0.0      0.0 0.959E+00 0.113E-01 0.298E-01 0.000E+00 0.000E+00    5.93   277.23    1175.8  1163.5   298.6     4.905     1.135     0.5   97297.3 0.000E+00 0.000E+00
  25    134.7    134.7     -0.0      0.0 0.958E+00 0.119E-01 0.298E-01 0.000E+00 0.000E+00    5.95   276.86    1183.1  1163.0   298.6     4.855     1.135     0.5   97213.3 0.000E+00 0.000E+00
  26    142.3    142.3     -0.0      0.0 0.958E+00 0.125E-01 0.298E-01 0.000E+00 0.000E+00    5.97   276.48    1190.3  1162.4   298.5     4.805     1.134     0.5   97129.1 0.000E+00 0.000E+00
  27    149.9    149.9     -0.0      0.0 0.957E+00 0.131E-01 0.298E-01 0.000E+00 0.000E+00    5.98   276.10    1197.5  1161.9   298.5     4.757     1.133     0.5   97044.8 0.000E+00 0.000E+00
  28    157.5    157.5     -0.0      0.0 0.956E+00 0.137E-01 0.298E-01 0.000E+00 0.000E+00    6.00   275.72    1204.8  1161.3   298.4     4.710     1.132     0.6   96960.4 0.000E+00 0.000E+00
  29    165.1    165.1     -0.0      0.0 0.956E+00 0.143E-01 0.298E-01 0.000E+00 0.000E+00    6.02   275.35    1212.0  1160.8   298.4     4.663     1.131     0.6   96876.0 0.000E+00 0.000E+00
  30    172.7    172.7     -0.0      0.0 0.955E+00 0.149E-01 0.298E-01 0.000E+00 0.000E+00    6.03   274.97    1219.1  1160.2   298.3     4.618     1.131     0.6   96791.6 0.000E+00 0.000E+00
  31    180.3    180.3     -0.0      0.0 0.955E+00 0.156E-01 0.298E-01 0.000E+00 0.000E+00    6.05   274.59    1226.3  1159.6   298.2     4.573     1.130     0.6   96707.1 0.000E+00 0.000E+00
  32    187.9    187.9     -0.0      0.0 0.954E+00 0.162E-01 0.298E-01 0.000E+00 0.000E+00    6.07   274.22    1233.5  1159.1   298.2     4.529     1.129     0.7   96622.7 0.000E+00 0.000E+00
  33    195.5    195.5     -0.0      0.0 0.953E+00 0.168E-01 0.298E-01 0.000E+00 0.000E+00    6.08   273.84    1240.6  1158.5   298.1     4.486     1.128     0.7   96538.3 0.000E+00 0.000E+00
  34    200.0    200.0     -0.0      0.0 0.953E+00 0.171E-01 0.298E-01 0.000E+00 0.000E+00    6.09   273.62    1244.8  1158.2   298.1     4.461     1.128     0.7   96488.8 0.000E+00 0.000E+00
  35    205.0    205.0     -0.0      0.0 0.953E+00 0.175E-01 0.297E-01 0.000E+00 0.000E+00    6.10   273.38    1249.4  1157.8   298.1     4.434     1.127     0.7   96433.7 0.000E+00 0.000E+00
  36    210.4    210.4     -0.0      0.0 0.952E+00 0.179E-01 0.297E-01 0.000E+00 0.000E+00    6.11   273.11    1254.5  1157.5   298.0     4.404     1.127     0.8   96373.7 0.000E+00 0.000E+00
  37    216.2    216.2     -0.0      0.0 0.952E+00 0.184E-01 0.297E-01 0.000E+00 0.000E+00    6.13   272.83    1259.9  1157.0   298.0     4.373     1.126     0.8   96309.5 0.000E+00 0.000E+00
  38    222.3    222.3     -0.0      0.0 0.951E+00 0.189E-01 0.297E-01 0.000E+00 0.000E+00    6.14   272.53    1265.6  1156.6   297.9     4.341     1.126     0.8   96241.7 0.000E+00 0.000E+00
  39    228.8    228.8     -0.0      0.0 0.951E+00 0.194E-01 0.297E-01 0.000E+00 0.000E+00    6.15   272.21    1271.5  1156.1   297.9     4.308     1.125     0.8   96171.0 0.000E+00 0.000E+00
  40    235.4    235.4     -0.0      0.0 0.950E+00 0.199E-01 0.297E-01 0.000E+00 0.000E+00    6.17   271.89    1277.6  1155.6   297.8     4.274     1.124     0.8   96097.7 0.000E+00 0.000E+00
  41    242.2    242.2     -0.0      0.0 0.950E+00 0.204E-01 0.297E-01 0.000E+00 0.000E+00    6.18   271.56    1283.9  1155.2   297.8     4.240     1.124     0.9   96022.4 0.000E+00 0.000E+00
  42    249.2    249.2     -0.1      0.0 0.949E+00 0.210E-01 0.297E-01 0.000E+00 0.000E+00    6.20   271.22    1290.3  1154.6   297.7     4.205     1.123     0.9   95945.5 0.000E+00 0.000E+00
  43    256.3    256.3     -0.1      0.0 0.949E+00 0.215E-01 0.297E-01 0.000E+00 0.000E+00    6.22   270.87    1296.8  1154.1   297.7     4.171     1.122     0.9   95867.1 0.000E+00 0.000E+00
  44    263.5    263.5     -0.1      0.0 0.948E+00 0.221E-01 0.297E-01 0.000E+00 0.000E+00    6.23   270.52    1303.4  1153.6   297.6     4.136     1.121     1.0   95787.8 0.000E+00 0.000E+00
  45    270.8    270.8     -0.1      0.0 0.948E+00 0.227E-01 0.297E-01 0.000E+00 0.000E+00    6.25   270.17    1310.1  1153.1   297.6     4.102     1.121     1.0   95707.5 0.000E+00 0.000E+00
  46    278.2    278.2     -0.1      0.0 0.947E+00 0.232E-01 0.297E-01 0.000E+00 0.000E+00    6.26   269.82    1316.8  1152.6   297.5     4.068     1.120     1.0   95626.6 0.000E+00 0.000E+00
  47    285.6    285.6     -0.1      0.0 0.947E+00 0.238E-01 0.297E-01 0.000E+00 0.000E+00    6.28   269.46    1323.6  1152.0   297.5     4.035     1.119     1.0   95545.1 0.000E+00 0.000E+00
  48    293.1    293.1     -0.1      0.0 0.946E+00 0.244E-01 0.297E-01 0.000E+00 0.000E+00    6.30   269.10    1330.3  1151.5   297.4     4.002     1.118     1.1   95463.2 0.000E+00 0.000E+00
