
Output from Plumeria 2, fortran version, run date 2022.02.09  16:43

Input values:
      Using multilayered atmosphere from file metfile.txt                                                                     
                           Vent diameter (m):   349.0
                          Vent elevation (m):   144.0
                      Initial velocity (m/s):   219.8
                       Magma temperature (C):    900.
                         Weight fraction gas:   0.030
                         Weight fraction air:   0.001
               Magma specific heat, (J/kg K):  1000.0
                      Magma density, (kg/m3):  2500.0
                     Mixture density (kg/m3):   5.948
                   Mass fraction water added:   0.000
                           Mass flux, (kg/s):  0.125E+09
                 Mass flux of solids, (kg/s):  0.121E+09
                   Mixture sound speed (m/s):   144.0
**********************************************************************************************************************************************************************************************
   i        s        z        x        y       m_m       m_a       m_w       m_l       m_i      v       u          r   T_mix   T_air   rho_mix   rho_air    Time     p_air     water       ice
       meters   meters   meters   meters                                                      m/s     m/s          m  Kelvin  Kelvin     kg/m3     kg/m3 seconds        Pa      g/m3      g/m3
   1      0.0      0.0      0.0      0.0 0.969E+00 0.100E-02 0.300E-01 0.000E+00 0.000E+00    5.75   219.80     174.5  1173.0   299.7     5.948     1.148     0.0   98721.4 0.000E+00 0.000E+00
   2      1.0      1.0     -0.0      0.0 0.969E+00 0.151E-02 0.300E-01 0.000E+00 0.000E+00    5.75   219.65     175.5  1172.5   299.7     5.890     1.148     0.0   98710.1 0.000E+00 0.000E+00
   3      2.5      2.5     -0.0      0.0 0.968E+00 0.227E-02 0.300E-01 0.000E+00 0.000E+00    5.75   219.43     176.9  1171.8   299.7     5.805     1.148     0.0   98693.2 0.000E+00 0.000E+00
   4      4.6      4.6     -0.0      0.0 0.967E+00 0.333E-02 0.299E-01 0.000E+00 0.000E+00    5.76   219.11     178.9  1170.8   299.7     5.692     1.147     0.0   98669.8 0.000E+00 0.000E+00
   5      7.3      7.3     -0.0      0.0 0.965E+00 0.470E-02 0.299E-01 0.000E+00 0.000E+00    5.76   218.71     181.4  1169.6   299.6     5.553     1.147     0.0   98639.5 0.000E+00 0.000E+00
   6     10.6     10.6     -0.0      0.0 0.964E+00 0.637E-02 0.299E-01 0.000E+00 0.000E+00    5.76   218.22     184.5  1168.1   299.6     5.390     1.147     0.0   98602.1 0.000E+00 0.000E+00
   7     14.5     14.5     -0.0      0.0 0.962E+00 0.835E-02 0.299E-01 0.000E+00 0.000E+00    5.77   217.64     188.0  1166.3   299.6     5.212     1.146     0.1   98558.0 0.000E+00 0.000E+00
   8     19.0     19.0     -0.0      0.0 0.960E+00 0.106E-01 0.298E-01 0.000E+00 0.000E+00    5.78   216.98     192.1  1164.2   299.5     5.023     1.146     0.1   98507.5 0.000E+00 0.000E+00
   9     24.0     24.0     -0.0      0.0 0.957E+00 0.131E-01 0.298E-01 0.000E+00 0.000E+00    5.78   216.25     196.4  1162.0   299.5     4.830     1.145     0.1   98451.5 0.000E+00 0.000E+00
  10     29.4     29.4     -0.0      0.0 0.954E+00 0.158E-01 0.298E-01 0.000E+00 0.000E+00    5.79   215.47     201.1  1159.5   299.4     4.637     1.145     0.1   98390.5 0.000E+00 0.000E+00
