SUMMARY OF INPUT VALUES USED IN PLUMERIA RUNS ON 2022Feb09
run #          MER        diam     u_exit    m_w    m_g    T_m   sound_speed   vent_elevation    mdot_solids    H_t        H_nbl     Vdot_nbl
              kg/s          m        m/s                    C        m/s             m             kg/s          km         km         m3/s
00001       9.6800e+05    25.0     331.4     0.00   0.03  900.0    144.00          144.0         9.3860e+05    5.789      4.080    1.3200e+08
00002       3.6400e+08   869.0     103.3     0.00   0.03  900.0    144.00          144.0         3.5350e+08    0.935      0.000    0.0000e+00
00003       4.2400e+08   824.0     133.7     0.00   0.03  900.0    144.00          144.0         4.1130e+08   29.289     20.810    4.3750e+10
00004       5.8400e+09  2100.0     283.7     0.00   0.03  900.0    144.00          144.0         5.6690e+09   46.998     29.010    7.8850e+11
00005       3.4800e+08   746.0     133.8     0.00   0.03  900.0    144.00          144.0         3.3740e+08   28.196     20.510    3.7790e+10
00006       1.1400e+10  3079.0     257.7     0.00   0.03  900.0    144.00          144.0         1.1070e+10   50.474     31.440    1.7060e+12
00007       2.8600e+06    42.0     347.3     0.00   0.03  900.0    144.00          144.0         2.7760e+06   10.384      5.710    3.1190e+08
00008       1.2500e+08   349.0     219.8     0.00   0.03  900.0    144.00          144.0         1.2130e+08   23.552     18.710    1.7760e+10
00009       2.1300e+08   426.0     251.3     0.00   0.03  900.0    144.00          144.0         2.0670e+08   25.656     19.500    2.6520e+10
00010       2.1400e+10  6378.0     112.4     0.00   0.03  900.0    144.00          144.0         2.0720e+10    0.826      0.000    0.0000e+00
