 PRESS    HGT(MSL) TEMP DEW PT  WND DIR  WND SPD
 HPA          M      C     C       DEG     M/S
 E = Estimated Surface Height

 1000.000    31.   27.5   23.0   112.5     5.6
  975.000   256.   25.6   22.3   112.2     5.9
  950.000   485.   23.9   20.9   111.7     6.4
  925.000   718.   22.4   19.1   110.9     7.0
  900.000   957.   20.9   17.8   110.9     7.6
  850.000  1450.   18.2   15.4   114.7     8.1
  800.000  1969.   15.8   11.3   124.8     7.9
  750.000  2516.   13.7    5.6   133.3     7.8
  700.000  3095.   10.9    2.4   134.0     8.0
  650.000  3710.    7.9    0.7   129.0     8.8
  600.000  4367.    4.6   -1.7   127.4     8.9
  550.000  5071.    0.5   -3.7   120.5     9.2
  500.000  5832.   -3.0  -13.6   113.1     8.2
  450.000  6659.   -7.0  -27.6   115.3     7.8
  400.000  7568.  -12.7  -23.7   109.3    10.2
  350.000  8571.  -20.4  -32.8   107.9     8.7
  300.000  9694.  -28.8  -63.2    86.9     8.4
  250.000 10971.  -38.8  -80.4    74.8    11.4
  200.000 12461.  -51.5  -84.4    72.6    13.8
  150.000 14262.  -66.6 -103.3    62.4    14.0
  100.000 16618.  -81.2 -125.2   209.1     6.5
   70.000 18618.  -79.5 -130.5   260.2    13.4
   50.000 20576.  -68.3 -134.3   -84.9    13.7
   40.000 21952.  -59.0 -136.7   239.7    16.2
   30.000 23753.  -59.0 -139.0   -76.9    14.6
   20.000 26333.  -50.4 -143.1   268.8    22.7
   15.000 28228.  -47.1 -139.8   268.4    17.6
   10.000 30944.  -41.9 -273.1   -87.3    19.4
    7.000 33368.  -39.0 -273.1   -71.9    23.5
    5.000 35705.  -32.1 -273.1   -85.4    32.4
    3.000 39410.  -18.9 -273.1   263.8    43.2
    2.000 42482.  -11.2 -273.1   267.2    50.7
    1.000 47797.  -14.4 -273.1   266.7    64.3
    0.700 50472.  -18.1 -273.1   259.9    65.4
    0.400 54629.  -19.6 -273.1   264.4    59.1
    0.200 59822.  -14.9 -273.1   250.2    42.6
    0.100 64949.  -33.9 -273.1   201.5    24.0
    0.070 67369.  -48.2 -273.1   228.6    22.4
    0.040 71028.  -51.7 -273.1   257.2    31.3
    0.020 75419.  -65.8 -273.1   268.1    22.6
    0.010 79335.  -87.6 -273.1   248.1    21.6
