INPUT VALUES USED IN HTHH PLUMERIA RUNS. T=900.0, m_w=0.00, m_g=0.03, rho_mix=5.948
run #         MER         diam     u_exit     T_m     m_w     m_g     rho_mix
             kg/s           m        m/s       C                        kg/m3
    1     1.0014e+06        25      331.4     900    0.00    0.03      5.948
    2     3.6471e+08       869      103.3     900    0.00    0.03      5.948
    3     4.2461e+08       824      133.7     900    0.00    0.03      5.948
    4     5.8425e+09      2100      283.7     900    0.00    0.03      5.948
    5     3.4779e+08       746      133.8     900    0.00    0.03      5.948
    6     1.1415e+10      3079      257.7     900    0.00    0.03      5.948
    7     2.9038e+06        42      347.3     900    0.00    0.03      5.948
    8     1.2527e+08       349      219.8     900    0.00    0.03      5.948
    9     2.1258e+08       426      251.3     900    0.00    0.03      5.948
   10     2.1355e+10      6378      112.4     900    0.00    0.03      5.948
   11     1.3193e+07       113      221.2     900    0.00    0.03      5.948
   12     4.7465e+09      2747      134.7     900    0.00    0.03      5.948
   13     4.0579e+07       166      315.0     900    0.00    0.03      5.948
   14     4.8279e+09      2154      222.7     900    0.00    0.03      5.948
   15     2.5178e+08       420      305.9     900    0.00    0.03      5.948
   16     7.8783e+08      1003      167.5     900    0.00    0.03      5.948
   17     4.0812e+06        59      255.0     900    0.00    0.03      5.948
   18     1.6282e+06        43      190.1     900    0.00    0.03      5.948
   19     1.6575e+09      1488      160.2     900    0.00    0.03      5.948
   20     8.9382e+09      3245      181.7     900    0.00    0.03      5.948
   21     2.8106e+10      4941      246.4     900    0.00    0.03      5.948
   22     1.3385e+09      1013      279.0     900    0.00    0.03      5.948
   23     1.6635e+09      1156      266.5     900    0.00    0.03      5.948
   24     1.4378e+06        35      252.1     900    0.00    0.03      5.948
   25     3.9487e+06        77      143.5     900    0.00    0.03      5.948
   26     6.7228e+08       684      307.5     900    0.00    0.03      5.948
   27     1.8040e+08       441      198.8     900    0.00    0.03      5.948
   28     1.7213e+07       121      250.4     900    0.00    0.03      5.948
   29     8.0645e+07       276      226.7     900    0.00    0.03      5.948
   30     2.9632e+06        55      206.7     900    0.00    0.03      5.948
   31     5.8645e+09      2905      148.7     900    0.00    0.03      5.948
   32     2.4695e+08       466      243.6     900    0.00    0.03      5.948
   33     1.7300e+06        53      132.9     900    0.00    0.03      5.948
   34     1.8378e+10      3731      282.6     900    0.00    0.03      5.948
   35     2.4936e+08       617      140.2     900    0.00    0.03      5.948
   36     4.5497e+07       236      175.5     900    0.00    0.03      5.948
   37     3.5937e+07       257      116.9     900    0.00    0.03      5.948
   38     9.4854e+08       955      222.4     900    0.00    0.03      5.948
   39     1.4749e+08       311      325.5     900    0.00    0.03      5.948
   40     9.2411e+06        82      294.2     900    0.00    0.03      5.948
   41     2.6124e+08       426      307.7     900    0.00    0.03      5.948
   42     6.5312e+09      2020      342.8     900    0.00    0.03      5.948
